"ï»¿""REF_DATE""",GEO,DGUID,Institution type,International Standard Classification of Education (ISCED),Field of study,Gender,Status of student in Canada,Selected statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2017,Canada,2016A000011124,University,Bachelor's or equivalent,"Mathematics, computer and information sciences [7]","Total, gender",Canadian students,Number,Number,223,units,0,v54454548,1.2.5.9.1.2.1,5151,,,,0
2017,Newfoundland and Labrador,2016A000210,University,Bachelor's or equivalent,"Mathematics, computer and information sciences [7]","Total, gender",Canadian students,Number,Number,223,units,0,v54470356,2.2.5.9.1.2.1,48,,,,0
2017,Prince Edward Island,2016A000211,University,Bachelor's or equivalent,"Mathematics, computer and information sciences [7]","Total, gender",Canadian students,Number,Number,223,units,0,v54472813,3.2.5.9.1.2.1,15,,,,0
2017,Nova Scotia,2016A000212,University,Bachelor's or equivalent,"Mathematics, computer and information sciences [7]","Total, gender",Canadian students,Number,Number,223,units,0,v54476470,4.2.5.9.1.2.1,147,,,,0
2017,New Brunswick,2016A000213,University,Bachelor's or equivalent,"Mathematics, computer and information sciences [7]","Total, gender",Canadian students,Number,Number,223,units,0,v54480130,5.2.5.9.1.2.1,99,,,,0
2017,Quebec,2016A000224,University,Bachelor's or equivalent,"Mathematics, computer and information sciences [7]","Total, gender",Canadian students,Number,Number,223,units,0,v54484613,6.2.5.9.1.2.1,723,,,,0
2017,Ontario,2016A000235,University,Bachelor's or equivalent,"Mathematics, computer and information sciences [7]","Total, gender",Canadian students,Number,Number,223,units,0,v54489257,7.2.5.9.1.2.1,2670,,,,0
2017,Manitoba,2016A000246,University,Bachelor's or equivalent,"Mathematics, computer and information sciences [7]","Total, gender",Canadian students,Number,Number,223,units,0,v108985851,8.2.5.9.1.2.1,147,,,,0
2017,Saskatchewan,2016A000247,University,Bachelor's or equivalent,"Mathematics, computer and information sciences [7]","Total, gender",Canadian students,Number,Number,223,units,0,v54497264,9.2.5.9.1.2.1,39,,,,0
2017,Alberta,2016A000248,University,Bachelor's or equivalent,"Mathematics, computer and information sciences [7]","Total, gender",Canadian students,Number,Number,223,units,0,v101869724,10.2.5.9.1.2.1,513,,,,0
2017,British Columbia,2016A000259,University,Bachelor's or equivalent,"Mathematics, computer and information sciences [7]","Total, gender",Canadian students,Number,Number,223,units,0,v54464589,11.2.5.9.1.2.1,750,,,,0
